elegans	brenneri	briggsae	remanei	japonica	common_name	common_name2	type	upstream_considered	intronic_considered	num_orthologs
WBGene00000028	WBGene00160920	WBGene00031181	WBGene00065084	WBGene00119395_WBGene00132963_WBGene00125358_WBGene00121938_WBGene00210383_WBGene00179401_WBGene00128700_WBGene00209629_WBGene00209498_WBGene00209778_WBGene00182682_WBGene00128167_WBGene00207387_WBGene00213324_WBGene00236794	abu-5	Y105C5A.4	other	4645	68	4
WBGene00000029	WBGene00139560_WBGene00149499_WBGene00150272_WBGene00163685	WBGene00030438_WBGene00030440_WBGene00030439_WBGene00030446	WBGene00052723_WBGene00052721_WBGene00052727_WBGene00052720	WBGene00133455_WBGene00136574_WBGene00122553_WBGene00133279_WBGene00127936_WBGene00124502	abu-6	C03A7.7	other	1376	48	4
WBGene00000030	WBGene00150272_WBGene00149499_WBGene00163685_WBGene00139560	WBGene00030439_WBGene00030446_WBGene00030438_WBGene00030440	WBGene00052727_WBGene00052721_WBGene00052723_WBGene00052720	WBGene00133455_WBGene00136574_WBGene00122553_WBGene00133279_WBGene00127936_WBGene00124502	abu-7	C03A7.8	other	966	47	4
WBGene00000031	WBGene00150272_WBGene00149499_WBGene00139560_WBGene00163685	WBGene00030439_WBGene00030446_WBGene00030438_WBGene00030440	WBGene00052727_WBGene00052721_WBGene00052723_WBGene00052720	WBGene00133455_WBGene00136574_WBGene00122553_WBGene00133279_WBGene00127936_WBGene00124502	abu-8	C03A7.14	other	1358	21047	4
WBGene00000032	WBGene00148671	WBGene00041237_WBGene00041238	WBGene00065483_WBGene00065484	WBGene00133279	abu-9	R09F10.2	other	1124	96	4
WBGene00000033	WBGene00148976	WBGene00034839	WBGene00051920	WBGene00134383	abu-10	F35A5.3	other	2827	292	4
WBGene00000034	WBGene00140436	WBGene00029148	WBGene00071999		abu-11	T01D1.6	other	2450	755	3
WBGene00000035	WBGene00190708	WBGene00036330	WBGene00063247	WBGene00122056	ace-1	W09B12.1	DA	7726	4029	4
WBGene00000036	WBGene00154358_WBGene00139039	WBGene00035335	WBGene00056425	WBGene00120101	ace-2	Y44E3A.2	neuronal	10512	3379	4
WBGene00000037	WBGene00175041_WBGene00190893	WBGene00025805_WBGene00025806	WBGene00053629	WBGene00134373	ace-3	Y48B6A.8	neuronal	356	2380	4
WBGene00000038	WBGene00146909_WBGene00191223	WBGene00025806_WBGene00025805	WBGene00077924		ace-4	Y48B6A.7	neuronal	8249	5350	3
WBGene00000039	WBGene00164493	WBGene00035046	WBGene00051736	WBGene00127186	acn-1	C42D8.5	neuronal	3964	1501	4
WBGene00000040	WBGene00152204	WBGene00037008	WBGene00058302	WBGene00136817	aco-1	ZK455.1	other	1574	623	4
WBGene00000041	WBGene00156618	WBGene00041389	WBGene00064481_WBGene00068135	WBGene00123320	aco-2	F54H12.1	other	338	875	4
WBGene00000042	WBGene00157559_WBGene00142232_WBGene00156787_WBGene00156911_WBGene00144426_WBGene00139702	WBGene00032130	WBGene00051450_WBGene00058468_WBGene00058265_WBGene00065266_WBGene00062403	WBGene00122001_WBGene00124748_WBGene00120150_WBGene00128161_WBGene00120657	acr-2	K11G12.2	neuronal	1865	4723	4
WBGene00000043	WBGene00141395_WBGene00157559_WBGene00142232_WBGene00156911_WBGene00144426_WBGene00139702	WBGene00032131	WBGene00051449_WBGene00058468_WBGene00058265_WBGene00065266_WBGene00062403	WBGene00136067_WBGene00124748_WBGene00120150_WBGene00128161_WBGene00120657	acr-3	K11G12.7	neuronal	444	1729	4
WBGene00000044	WBGene00192268	WBGene00032847	WBGene00067886	WBGene00184345_WBGene00130278	acr-5	K03F8.2	neuronal	3948	3270	4
WBGene00000045	WBGene00144426_WBGene00156911_WBGene00145120_WBGene00193924_WBGene00192500_WBGene00141395_WBGene00156787	WBGene00042167	WBGene00062403_WBGene00051449_WBGene00051450_WBGene00079796_WBGene00062740_WBGene00059982	WBGene00124748_WBGene00136067_WBGene00122978_WBGene00122001_WBGene00134642	acr-6	ZK973.5	neuronal	136	1676	4
WBGene00000046	WBGene00190235_WBGene00144110	WBGene00026192	WBGene00057696	WBGene00181630_WBGene00122595	acr-7	T09A5.3	neuronal	3096	1487	4
WBGene00000047	WBGene00139702_WBGene00145120_WBGene00193924_WBGene00192500_WBGene00141395_WBGene00156787	WBGene00036931	WBGene00058468_WBGene00051449_WBGene00051450_WBGene00079796_WBGene00062740_WBGene00059982	WBGene00128161_WBGene00136067_WBGene00122978_WBGene00122001_WBGene00134642	acr-8	ZC504.2	neuronal	3067	2136	4
WBGene00000048	WBGene00139661	WBGene00029459	WBGene00065286	WBGene00126411	acr-9	C40C9.2	GABAergic	836	2642	4
WBGene00000049	WBGene00149252	WBGene00034869	WBGene00051891	WBGene00181630_WBGene00217935	acr-10	R02E12.8	neuronal	322	1632	4
WBGene00000050	WBGene00148482_WBGene00141041	WBGene00033600	WBGene00056134	WBGene00133290	acr-11	D2092.3	neuronal	171	1822	4
WBGene00000051	WBGene00142232_WBGene00145120_WBGene00193924_WBGene00192500_WBGene00141395_WBGene00156787	WBGene00029484	WBGene00065266_WBGene00051449_WBGene00051450_WBGene00079796_WBGene00062740_WBGene00059982	WBGene00120150_WBGene00136067_WBGene00122978_WBGene00122001_WBGene00134642	acr-12	R01E6.4	neuronal	1010	1548	4
WBGene00000053	WBGene00147758_WBGene00190745	WBGene00024072	WBGene00053805	WBGene00183093	acr-14	T05C12.2	GABAergic	382	756	4
WBGene00000054	WBGene00163846	WBGene00024721	WBGene00053116	WBGene00128993	acr-15	F25G6.4	neuronal	1554	1188	4
WBGene00000055	WBGene00155698_WBGene00192223	WBGene00024720	WBGene00053117	WBGene00127824	acr-16	F25G6.3	neuronal	5880	1308	4
WBGene00000056	WBGene00145921	WBGene00028865	WBGene00062109	WBGene00137895	acr-17	F53E10.2	neuronal	5610	4257	4
WBGene00000057	WBGene00192145	WBGene00037983	WBGene00057739_WBGene00080132	WBGene00126023	acr-18	F28F8.1	neuronal	8246	6376	4
WBGene00000058	WBGene00143107	WBGene00033378	WBGene00059944	WBGene00131445	acr-19	C31H5.3	neuronal	4713	3494	4
WBGene00000059		WBGene00032274	WBGene00062241	WBGene00119944	acr-20	R06A4.10	neuronal	3894	2219	3
WBGene00000060	WBGene00149172	WBGene00035531_WBGene00042899	WBGene00063491	WBGene00123227	acr-21	F27B3.2	neuronal	3633	697	4
WBGene00000061	WBGene00161333	WBGene00036579	WBGene00051318	WBGene00124699	lgc-11	F48E3.7	neuronal	1381	1376	4
WBGene00000062	WBGene00138792_WBGene00147753	WBGene00028900	WBGene00058134		acr-23	F59B1.9	Touch.receptor	5371	6122	3
WBGene00000063	WBGene00195125	WBGene00025260_WBGene00025261_WBGene00025265_WBGene00025266_WBGene00037707_WBGene00041507_WBGene00041508_WBGene00042553	WBGene00066197	WBGene00132986_WBGene00183122	act-1	T04C12.6	other	1650	1870	4
WBGene00000064	WBGene00153714_WBGene00195128_WBGene00195126	WBGene00025260_WBGene00025261_WBGene00025265_WBGene00025266_WBGene00037707_WBGene00041507_WBGene00041508_WBGene00042553	WBGene00085263_WBGene00051763_WBGene00066199_WBGene00066197		act-2	T04C12.5	neuronal	1039	97	3
WBGene00000065		WBGene00025260_WBGene00025261_WBGene00025265_WBGene00025266_WBGene00037707_WBGene00041507_WBGene00041508_WBGene00042553	WBGene00066197_WBGene00051763_WBGene00085263_WBGene00066199		act-3	T04C12.4	GABAergic	1171	1251	2
WBGene00000066	WBGene00153714_WBGene00195125_WBGene00139578_WBGene00195127	WBGene00025260_WBGene00025261_WBGene00025265_WBGene00025266_WBGene00037707_WBGene00041507_WBGene00041508_WBGene00042553_WBGene00025262_WBGene00025264_WBGene00042551_WBGene00042552_WBGene00042554	WBGene00066199_WBGene00051763_WBGene00085263_WBGene00066197_WBGene00051847_WBGene00077878	WBGene00132986_WBGene00183122	act-4	M03F4.2	neuronal	2594	2062	4
WBGene00000067	WBGene00147014_WBGene00195126	WBGene00025260_WBGene00025261_WBGene00025265_WBGene00025266_WBGene00037707_WBGene00041507_WBGene00041508_WBGene00042553	WBGene00055874	WBGene00137332	act-5	T25C8.2	other	2005	385	4
WBGene00000068	WBGene00139513	WBGene00037499	WBGene00061719	WBGene00122091	acy-1	F17C8.1	other	1541	4591	4
WBGene00000069	WBGene00193471_WBGene00193611	WBGene00030888	WBGene00058838	WBGene00177979	acy-2	C10F3.3	neuronal	6853	2142	4
WBGene00000070	WBGene00142131	WBGene00030851	WBGene00054800	WBGene00132042_WBGene00214872	acy-3	C44F1.5	GABAergic	89	7596	4
WBGene00000071	WBGene00150513	WBGene00030952	WBGene00058903	WBGene00120086	acy-4	T01C2.1	GABAergic	13608	2901	4
WBGene00000072	WBGene00161390	WBGene00035011	WBGene00051775	WBGene00131727	add-1	F39C12.2	neuronal	6038	3343	4
WBGene00000073	WBGene00193528	WBGene00041723	WBGene00052406	WBGene00135858	add-2	F57F5.4	other	98	1994	4
WBGene00000074	WBGene00164245	WBGene00029451	WBGene00065291	WBGene00128066	adm-2	C04A11.4	other	5632	4592	4
WBGene00000075	WBGene00161017	WBGene00036634	WBGene00051257	WBGene00132476	adm-4	ZK154.7	other	672	902	4
WBGene00000079	WBGene00146172_WBGene00191334_WBGene00148299_WBGene00193863	WBGene00038662_WBGene00032046	WBGene00065454_WBGene00057151_WBGene00070756	WBGene00136513	adr-1	H15N14.1	other	1206	953	4
WBGene00000080	WBGene00139137	WBGene00042332	WBGene00072430	WBGene00128555_WBGene00208771_WBGene00216099	adr-2	T20H4.4	other	43	222	4
WBGene00000081	WBGene00158516	WBGene00035862	WBGene00065376	WBGene00134282_WBGene00215540	ads-1	Y50D7A.7	other	1028	1024	4
WBGene00000082	WBGene00149214_WBGene00159412_WBGene00141247	WBGene00023580	WBGene00051154_WBGene00051296_WBGene00051906	WBGene00126940_WBGene00128724_WBGene00136246	adt-1	C02B4.1	other	11297	5646	4
WBGene00000083	WBGene00141247_WBGene00149214_WBGene00138797	WBGene00036600	WBGene00051296_WBGene00051383_WBGene00051154	WBGene00136179_WBGene00126940_WBGene00136246	adt-2	F08C6.1	other	500	5876	4
WBGene00000084	WBGene00157583_WBGene00151277	WBGene00032972_WBGene00088006	WBGene00070062	WBGene00129718	aex-1	D2030.10	other	120	2653	4
WBGene00000085	WBGene00138823	WBGene00036129	WBGene00059777	WBGene00128514	aex-2	T14B1.2	neuronal	11383	898	4
WBGene00000086	WBGene00139092_WBGene00156824	WBGene00029981	WBGene00060240_WBGene00051714	WBGene00119605_WBGene00123141	aex-3	C02H7.3	GABAergic	4067	3700	4
WBGene00000088	WBGene00155888_WBGene00154502_WBGene00149997_WBGene00193771	WBGene00038888	WBGene00060890_WBGene00071303_WBGene00064328	WBGene00123364_WBGene00136111_WBGene00121280_WBGene00214263	aex-5	F32A7.6	neuronal	169	2931	4
WBGene00000089	WBGene00142962_WBGene00190569	WBGene00029902	WBGene00061205	WBGene00120924	aex-6	Y87G2A.4	other	2713	1149	4
WBGene00000090	WBGene00155593_WBGene00142195	WBGene00025837	WBGene00053588	WBGene00124700_WBGene00208421	age-1	B0334.8	neuronal	117	2349	4
WBGene00000092	WBGene00159907	WBGene00035082	WBGene00051700	WBGene00127407	ags-3	F32A6.4	HSN	534	10208	4
WBGene00000093	WBGene00139293	WBGene00024971	WBGene00062761_WBGene00083557_WBGene00074741	WBGene00126056	agt-1	Y62E10A.5	other	11	318	4
WBGene00000094			WBGene00057388	WBGene00131645	agt-2	F09E5.13	other	650	385	2
WBGene00000095	WBGene00160513_WBGene00159069	WBGene00033201	WBGene00062432	WBGene00128864	aha-1	C25A1.11	neuronal	330	1470	4
WBGene00000096	WBGene00162662_WBGene00140321	WBGene00042584	WBGene00085835	WBGene00130567_WBGene00206669_WBGene00209445	ahr-1	C41G7.5	SDQ.ALN.PLN	1302	5891	4
WBGene00000097	WBGene00155978_WBGene00152637	WBGene00032523	WBGene00052952	WBGene00119281	aip-1	F58E10.4	other	360	253	4
WBGene00000098	WBGene00152819_WBGene00155431	WBGene00032455_WBGene00042822	WBGene00053032_WBGene00080761_WBGene00070753	WBGene00127494	air-1	K07C11.2	other	184	757	4
WBGene00000099	WBGene00153601_WBGene00191430_WBGene00193267	WBGene00026778	WBGene00066584	WBGene00176308_WBGene00128903	air-2	B0207.4	other	526	288	4
WBGene00000100	WBGene00194196_WBGene00193075	WBGene00023636	WBGene00051090_WBGene00051088_WBGene00051089	WBGene00119538	ajm-1	C25A11.4	other	3911	26717	4
WBGene00000101	WBGene00191495	WBGene00033885	WBGene00054361	WBGene00124353	aka-1	D1022.7	other	390	1914	4
WBGene00000102	WBGene00163910	WBGene00031128	WBGene00059103	WBGene00130595	akt-1	C12D8.10	ASE	5750	1560	4
WBGene00000103	WBGene00163910	WBGene00031128	WBGene00059103	WBGene00130595	akt-2	F28H6.1	other	2817	1990	4
WBGene00000105	WBGene00151382_WBGene00145376_WBGene00144966_WBGene00164561	WBGene00029416_WBGene00042457	WBGene00065320_WBGene00079962_WBGene00060691_WBGene00070655_WBGene00054991	WBGene00126298_WBGene00130222_WBGene00122263	alg-1	F48F7.1	other	8241	2147	4
WBGene00000106	WBGene00145376_WBGene00144966_WBGene00158947_WBGene00164561	WBGene00029416_WBGene00042457	WBGene00079962_WBGene00060691_WBGene00059681_WBGene00070655_WBGene00054991	WBGene00123885_WBGene00130222_WBGene00122263	alg-2	T07D3.7	other	1512	2532	4
WBGene00000107	WBGene00149190	WBGene00041442	WBGene00061855	WBGene00136377	alh-1	F54D8.3	neuronal	1797	1053	4
WBGene00000108	WBGene00149190	WBGene00041442	WBGene00061855	WBGene00136377	alh-2	K04F1.15	other	1143	1919	4
WBGene00000109	WBGene00140465_WBGene00151344	WBGene00028333	WBGene00062509_WBGene00074590	WBGene00120726	alh-3	F36H1.6	other	702	404	4
WBGene00000110	WBGene00154828	WBGene00038231	WBGene00052154_WBGene00081941_WBGene00164988	WBGene00127480	alh-4	T05H4.13	other	1418	440	4
WBGene00000111		WBGene00038231	WBGene00081941_WBGene00164988	WBGene00137228	alh-5	T08B1.3	other	839	2094	3
WBGene00000112	WBGene00144618	WBGene00029270	WBGene00064624	WBGene00121393	alh-6	F56D12.1	other	286	1877	4
WBGene00000113	WBGene00140440	WBGene00039697	WBGene00057606_WBGene00076437	WBGene00133209	alh-7	F45H10.1	other	28	4195	4
WBGene00000114	WBGene00150463_WBGene00148835	WBGene00026057	WBGene00053342	WBGene00126458	alh-8	F13D12.4	other	79	326	4
WBGene00000115	WBGene00139116	WBGene00030737	WBGene00055573	WBGene00122777	alh-9	F01F1.6	other	1051	1196	4
WBGene00000116	WBGene00140344	WBGene00032202	WBGene00051376	WBGene00138628	alh-10	C54D1.4	other	340	1484	4
WBGene00000117	WBGene00148635	WBGene00035529	WBGene00064864	WBGene00125713	alh-11	F42G9.5	other	118	1776	4
WBGene00000118	WBGene00161115	WBGene00030825	WBGene00066748	WBGene00131584	alh-12	Y69F12A.2	other	50000	242	4
WBGene00000120	WBGene00145501	WBGene00040468_WBGene00040469_WBGene00271408	WBGene00073663_WBGene00063902_WBGene00082926_WBGene00080277_WBGene00080514	WBGene00215151_WBGene00212761_WBGene00207160_WBGene00217428_WBGene00218993	aly-1	C01F6.5	other	1336	49	4
WBGene00000121	WBGene00142928	WBGene00040469	WBGene00063905_WBGene00073872	WBGene00215151_WBGene00212761_WBGene00207160_WBGene00217428_WBGene00218993	aly-2	F23B2.6	other	605	326	4
WBGene00000122	WBGene00156774_WBGene00145339	WBGene00028541	WBGene00075068_WBGene00066295	WBGene00136109	aly-3	M18.7	other	432	147	4
WBGene00000123	WBGene00194515	WBGene00027817_WBGene00043010	WBGene00072934	WBGene00124608	ama-1	F36A4.7	other	56	4080	4
WBGene00000133	WBGene00154322_WBGene00141620_WBGene00150230_WBGene00193129	WBGene00034968_WBGene00034967	WBGene00051813_WBGene00053867_WBGene00074499_WBGene00076341_WBGene00062709	WBGene00120245_WBGene00125266_WBGene00119748	amt-1	C05E11.4	other	2074	739	4
WBGene00000134	WBGene00141620_WBGene00154322_WBGene00142906	WBGene00042212	WBGene00062709_WBGene00051813_WBGene00077849_WBGene00074499_WBGene00076341_WBGene00076225_WBGene00080635	WBGene00119748_WBGene00120245_WBGene00131046	amt-2	F49E11.3	other	3390	2899	4
WBGene00000135	WBGene00154322_WBGene00150230_WBGene00193129	WBGene00024055	WBGene00053867_WBGene00051813_WBGene00077849_WBGene00076341	WBGene00125266_WBGene00120245_WBGene00131046	amt-3	M195.3	other	7527	3604	4
WBGene00000136	WBGene00141620_WBGene00150230_WBGene00193129_WBGene00143701	WBGene00034965_WBGene00034967_WBGene00034968	WBGene00077849_WBGene00053867_WBGene00074499_WBGene00076341_WBGene00062709	WBGene00131046_WBGene00125266_WBGene00119748	amt-4	C05E11.5	other	2428	2209	4
WBGene00000137	WBGene00193490	WBGene00039201	WBGene00071101_WBGene00081647	WBGene00134238	amx-1	R13G10.2	other	2750	1217	4
WBGene00000138	WBGene00160220_WBGene00192643	WBGene00029850	WBGene00061253	WBGene00124356	amx-2	B0019.1	neuronal	8710	3027	4
WBGene00000139	WBGene00139388_WBGene00156150	WBGene00027980	WBGene00063571	WBGene00126935_WBGene00210917	amx-3	F25C8.2	other	535	3107	4
WBGene00000140	WBGene00193220_WBGene00194269	WBGene00033177	WBGene00062402	WBGene00128371_WBGene00177285	anc-1	ZK973.6	neuronal	9788	15166	4
WBGene00000142	WBGene00151865	WBGene00031092	WBGene00059056	WBGene00128822	aos-1	C08B6.9	other	131	1562	4
WBGene00000143	WBGene00164886	WBGene00041413	WBGene00061835	WBGene00132672_WBGene00137919	apc-2	K06H7.6	other	370	761	4
WBGene00000144		WBGene00031171	WBGene00065072	WBGene00135224	apc-10	F15H10.3	other	311	250	3
WBGene00000145	WBGene00164496	WBGene00037529	WBGene00061746	WBGene00177344	apc-11	F35G12.9	other	120	93	4
WBGene00000146	WBGene00153868_WBGene00191441	WBGene00041670	WBGene00052333	WBGene00127231	ape-1	F46F3.4	other	3367	6583	4
WBGene00000147	WBGene00161363_WBGene00147743	WBGene00077507_WBGene00038682_WBGene00088171	WBGene00060926	WBGene00137119	aph-1	VF36H2L.1	other	616	389	4
WBGene00000148	WBGene00145104_WBGene00144091	WBGene00040151	WBGene00059840	WBGene00133357	aph-2	ZC434.6	other	131	2269	4
WBGene00000149	WBGene00155056	WBGene00035050	WBGene00051732	WBGene00134546	apl-1	C42D8.8	ASE	22126	1704	4
WBGene00000150	WBGene00155623	WBGene00033291_WBGene00030469	WBGene00060042	WBGene00122106	apm-1	F55A12.7	other	1222	943	4
WBGene00000151	WBGene00192262	WBGene00034190			apn-1	T05H10.2	GABAergic	111	263	2
WBGene00000155	WBGene00143091_WBGene00194052	WBGene00039457	WBGene00074186_WBGene00073512	WBGene00129453_WBGene00213716_WBGene00216419	app-1	W03G9.4	other	936	326	4
WBGene00000156	WBGene00146816_WBGene00150302	WBGene00030061	WBGene00070008	WBGene00122252	apr-1	K04G2.8	other	691	1532	4
WBGene00000157	WBGene00139524	WBGene00034950	WBGene00051833	WBGene00131334	aps-2	F02E8.3	other	967	420	4
WBGene00000158	WBGene00193483	WBGene00030486	WBGene00060867	WBGene00131262	apg-1	Y105E8A.9	other	393	8887	4
WBGene00000159	WBGene00140292	WBGene00030881	WBGene00058831	WBGene00123706	aps-1	F29G9.3	other	305	302	4
WBGene00000160	WBGene00163604	WBGene00031341	WBGene00054910	WBGene00211476	apb-1	Y71H2B.10	other	1034	8509	4
WBGene00000161	WBGene00143390_WBGene00161143_WBGene00145266_WBGene00151761_WBGene00144193	WBGene00036188	WBGene00077324	WBGene00124240	apa-2	T20B5.1	other	1784	2737	4
WBGene00000162	WBGene00159610_WBGene00158738	WBGene00040164	WBGene00067410_WBGene00071761	WBGene00132933	apd-3	W09G10.4	GABAergic	4229	9776	4
WBGene00000163	WBGene00191055_WBGene00192595	WBGene00042007	WBGene00071320_WBGene00072793	WBGene00125930	apb-3	R11A5.1	other	118	1159	4
WBGene00000164	WBGene00146871	WBGene00029947	WBGene00060198	WBGene00129793	apm-3	F53H8.1	other	763	1375	4
WBGene00000165	WBGene00149191	WBGene00030288	WBGene00056320	WBGene00130056	aps-3	Y48G8AL.14	other	558	40	4
WBGene00000166	WBGene00139861	WBGene00037110	WBGene00058354	WBGene00130054	apt-9	W04G3.4	other	1954	1245	4
WBGene00000168	WBGene00157149_WBGene00144022_WBGene00158114	WBGene00040504	WBGene00057869		apx-1	K08D9.3	other	9612	10259	3
WBGene00000169	WBGene00163936	WBGene00033933	WBGene00054302	WBGene00128785	aqp-1	F32A5.5	other	7543	1426	4
WBGene00000170	WBGene00161584	WBGene00024232	WBGene00062275	WBGene00131348	aqp-2	C01G6.1	SDQ.ALN.PLN	5362	1842	4
WBGene00000171	WBGene00159526_WBGene00155031	WBGene00028320	WBGene00062497_WBGene00074735	WBGene00132592	aqp-3	Y69E1A.7	other	174	3782	4
WBGene00000172	WBGene00144356_WBGene00192566	WBGene00038598	WBGene00062868_WBGene00082961	WBGene00129504	aqp-4	F40F9.9	other	2334	1109	4
WBGene00000173	WBGene00140839	WBGene00031159	WBGene00065060_WBGene00082961	WBGene00124631	aqp-5	C35A5.1	other	1733	476	4
WBGene00000174	WBGene00160706_WBGene00158203	WBGene00031219	WBGene00065022_WBGene00082961	WBGene00125197	aqp-6	C32C4.2	other	440	2392	4
WBGene00000175	WBGene00158830	WBGene00034718	WBGene00052060	WBGene00135255	aqp-7	M02F4.8	SDQ.ALN.PLN	6980	295	4
WBGene00000176	WBGene00142768	WBGene00034989	WBGene00051794	WBGene00134187	aqp-8	K02G10.7	other	2219	871	4
WBGene00000177	WBGene00146235_WBGene00157853	WBGene00026518	WBGene00080004	WBGene00131268	aqp-9	K07A1.16	other	320	2175	4
WBGene00000178	WBGene00154585	WBGene00024329	WBGene00067230	WBGene00128637	aqp-10	ZK1321.3	other	917	407	4
WBGene00000179	WBGene00149950	WBGene00037695	WBGene00072651	WBGene00138295_WBGene00212021_WBGene00217272	aqp-11	ZK525.2	other	5450	560	4
WBGene00000180	WBGene00162148_WBGene00185015	WBGene00024350	WBGene00067264	WBGene00126882_WBGene00211624	arc-1	ZK1320.6	other	1717	523	4
WBGene00000181	WBGene00158369_WBGene00192477	WBGene00028363	WBGene00062537_WBGene00075958_WBGene00076563_WBGene00074924	WBGene00121446	ard-1	F01G4.2	other	130	1588	4
WBGene00000182	WBGene00219396	WBGene00030680	WBGene00055607	WBGene00119857	arf-1.2	B0336.2	other	1137	1393	4
WBGene00000183	WBGene00139174_WBGene00145648	WBGene00037282	WBGene00059390_WBGene00074034	WBGene00129660	arf-3	F57H12.1	other	539	387	4
WBGene00000184	WBGene00164232_WBGene00156938_WBGene00142370_WBGene00151621_WBGene00192053	WBGene00023741	WBGene00061329_WBGene00062463	WBGene00124832_WBGene00121368	arf-6	Y116A8C.12	other	217	1806	4
WBGene00000185	WBGene00144022_WBGene00157149_WBGene00158114	WBGene00040504	WBGene00057869		arg-1	F31A9.3	other	6379	352	3
WBGene00000186	WBGene00139948_WBGene00190947_WBGene00146905	WBGene00034274	WBGene00064570_WBGene00069413	WBGene00122196_WBGene00135935	ark-1	C01C7.1	other	8146	5352	4
WBGene00000187	WBGene00149601_WBGene00192329	WBGene00023932	WBGene00053933	WBGene00125229	arl-1	F54C9.10	other	496	105	4
WBGene00000188	WBGene00191300_WBGene00191395_WBGene00162703	WBGene00032261	WBGene00060580	WBGene00138204	arl-3	F19H8.3	other	1514	285	4
WBGene00000189	WBGene00146393	WBGene00031474	WBGene00055011	WBGene00128798_WBGene00214931	arl-5	ZK632.8	other	132	185	4
